x,y,z,yaw,mps,change_flag
726105.476502733,5225061.15718341,0,-0.832662368375828,0,0
726106.148499885,5225060.41845998,0,-0.841775162281551,0,0
726106.814519242,5225059.67276815,0,-0.853000298049634,0,0
726107.472595529,5225058.91910995,0,-0.866348879417112,0,0
726108.120763474,5225058.15648739,0,-0.881834972925106,0,0
726108.757057802,5225057.38390248,0,-0.899473808209223,0,0
726109.379513239,5225056.60035723,0,-0.919279666981703,0,0
726109.986164512,5225055.80485366,0,-0.941263410651205,0,0
726110.575046348,5225054.99639379,0,-0.965429666573416,0,0
726111.144193472,5225054.17397962,0,-0.991863349975961,0,0
726111.691534241,5225053.33661192,0,-1.02155247357601,0,0
726112.213830501,5225052.48327773,0,-1.0551512705764,0,0
726112.707123483,5225051.6129556,0,-1.09268712912951,0,0
726113.167451603,5225050.72465128,0,-1.13361288681286,0,0
726113.591085686,5225049.81818015,0,-1.17737141071355,0,0
726113.974562232,5225048.89428318,0,-1.22280514899925,0,0
726114.315613167,5225047.95411093,0,-1.26217281211476,0,0
726114.619447144,5225047.00108702,0,-1.29245211195357,0,0
726114.894250758,5225046.03943659,0,-1.3132959205385,0,0
726115.148917054,5225045.07239895,0,-1.32516625938436,0,0
726115.392089693,5225044.10239426,0,-1.33488837205709,0,0
726115.62581611,5225043.13008953,0,-1.34570521058911,0,0
726115.849011935,5225042.15531295,0,-1.35516116828297,0,0
726116.062981911,5225041.17846287,0,-1.3624039571394,0,0
726116.269869533,5225040.20009666,0,-1.36710247463104,0,0
726116.472157603,5225039.22077119,0,-1.36794497730217,0,0
726116.673620932,5225038.24127363,0,-1.3633668010915,0,0
726116.879566378,5225037.26270899,0,-1.35138709819792,0,0
726117.09722047,5225036.28667812,0,-1.32930637926942,0,0
726117.336372579,5225035.31568522,0,-1.2931330037369,0,0
726117.610486327,5225034.35397077,0,-1.23725602230063,0,0
726117.937873237,5225033.40909126,0,-1.15496974601449,0,0
726118.341800617,5225032.49435116,0,-1.04024814672982,0,0
726118.847710911,5225031.63198489,0,-0.906998924703218,0,0
726119.463678351,5225030.84451185,0,-0.775675317770776,0,0
726120.17746054,5225030.14447642,0,-0.655511947132887,0,0
726120.970055499,5225029.53501969,0,-0.552308879164142,0,0
726121.821270335,5225029.01042747,0,-0.464832370862804,0,0
726122.715093498,5225028.56219139,0,-0.383197917151267,0,0
726123.642503454,5225028.18832874,0,-0.306908099366389,0,0
726124.595726905,5225027.88623153,0,-0.237696081038532,0,0
726125.567595027,5225027.65077103,0,-0.175821298277613,0,0
726126.55214865,5225027.47585946,0,-0.126902675969492,0,0
726127.544122768,5225027.34929515,0,-0.0988407253942253,0,0
726128.539246449,5225027.25061484,0,-0.0894407023009445,0,0
726129.535250505,5225027.16129323,0,-0.0946426035374531,0,0
726130.530776829,5225027.0667917,0,-0.112275041214296,0,0
726131.524487075,5225026.95475167,0,-0.140706026247902,0,0
726132.514625378,5225026.81450648,0,-0.176908391350594,0,0
