x,y,z,yaw,mps,change_flag
696966.143426243,5285678.35104472,0,1.57958798436757,0,0
696966.13465166,5285679.34907696,0,1.5841733378356,0,0
696966.121298741,5285680.34721641,0,1.58852287975164,0,0
696966.103601476,5285681.34545961,0,1.59263665891368,0,0
696966.081793856,5285682.34380305,0,1.59651476443526,0,0
696966.056109871,5285683.34224324,0,1.60015731841852,0,0
696966.026783511,5285684.34077671,0,1.60356446874949,0,0
696965.994048766,5285685.33939994,0,1.60673638436092,0,0
696965.958139625,5285686.33810947,0,1.60967324822165,0,0
696965.91929008,5285687.33690179,0,1.61237525303457,0,0
696965.877734121,5285688.33577341,0,1.61484259638595,0,0
696965.833705736,5285689.33472085,0,1.61707547495107,0,0
696965.787438917,5285690.33374061,0,1.61907408246408,0,0
696965.739167653,5285691.33282921,0,1.6208386046645,0,0
696965.689125935,5285692.33198315,0,1.62236921637917,0,0
696965.637547753,5285693.33119894,0,1.62366607851603,0,0
696965.584667096,5285694.3304731,0,1.6247293363406,0,0
696965.530717955,5285695.32980213,0,1.62555911638839,0,0
696965.47593432,5285696.32918254,0,1.62615552521632,0,0
696965.420550181,5285697.32861085,0,1.62651864805549,0,0
696965.364799529,5285698.32808356,0,1.62664854811577,0,0
696965.308916352,5285699.32759718,0,1.62654526531249,0,0
696965.253134642,5285700.32714822,0,1.62620881684455,0,0
696965.197688387,5285701.32673319,0,1.62563919671951,0,0
696965.14281158,5285702.32634861,0,1.62483637680899,0,0
696965.088738209,5285703.32599097,0,1.62380030764797,0,0
696965.035702264,5285704.3256568,0,1.62253091943926,0,0
696964.983937737,5285705.3253426,0,1.62102812397741,0,0
696964.933678616,5285706.32504488,0,1.61929181668011,0,0
696964.885158892,5285707.32476014,0,1.61732187918862,0,0
696964.838612554,5285708.32448491,0,1.61511818194995,0,0
696964.794273594,5285709.32421569,0,1.61268058737518,0,0
696964.752376001,5285710.32394899,0,1.61000895352125,0,0
696964.713153766,5285711.32368131,0,1.60710313855213,0,0
696964.676840877,5285712.32340918,0,1.60396300390819,0,0
696964.643671326,5285713.32312909,0,1.60058842076655,0,0
696964.613879103,5285714.32283756,0,1.59697927379311,0,0
696964.587698197,5285715.3225311,0,1.5931354670824,0,0
696964.565362599,5285716.32220622,0,1.58905693074044,0,0
696964.547106298,5285717.32185942,0,1.58474362652208,0,0
696964.533163285,5285718.32148723,0,1.58019555480343,0,0
696964.523767551,5285719.32108614,0,1.57541276191967,0,0
696964.519153084,5285720.32065266,0,1.57039534720764,0,0
696964.519553875,5285721.32018332,0,1.56514348295537,0,0
696964.525203904,5285722.3196746,0,1.55977327683479,0,0
696964.536221335,5285723.31912437,0,1.55468644532708,0,0
696964.552323115,5285724.31853505,0,1.54997006887827,0,0
696964.573139367,5285725.31791008,0,1.54562425358913,0,0
696964.598300212,5285726.31725291,0,1.54164902451328,0,0
696964.627435772,5285727.31656696,0,1.53804434151095,0,0
696964.66017617,5285728.31585569,0,1.53481011753018,0,0
696964.696151525,5285729.31512251,0,1.5319462322938,0,0
696964.734991962,5285730.31437088,0,1.52945254605903,0,0
696964.776327601,5285731.31360423,0,1.5273289110488,0,0
696964.819788564,5285732.31282599,0,1.52557518245122,0,0
696964.865004973,5285733.31203961,0,1.52419122589334,0,0
696964.911606951,5285734.31124852,0,1.52317692616139,0,0
696964.959224618,5285735.31045615,0,1.52253219133945,0,0
696965.007488096,5285736.30966596,0,1.52225695794963,0,0
696965.056027508,5285737.30888137,0,1.52235119311567,0,0
696965.104472976,5285738.30810582,0,1.52281489612001,0,0
696965.15245462,5285739.30734275,0,1.52364809750035,0,0
696965.199602564,5285740.3065956,0,1.52485085721429,0,0
696965.245546928,5285741.30586781,0,1.5264210555146,0,0
696965.289920043,5285742.30516277,0,1.5281520206125,0,0
696965.332561105,5285743.30448049,0,1.52967107270813,0,0
696965.37368217,5285744.30381485,0,1.53093911112451,0,0
696965.413534354,5285745.30315908,0,1.53195608682758,0,0
696965.452368775,5285746.30250644,0,1.53272196053748,0,0
696965.490436551,5285747.30185015,0,1.53323669944279,0,0
696965.527988798,5285748.30118347,0,1.53350027655505,0,0
696965.565276633,5285749.30049961,0,1.53351266919252,0,0
696965.602551176,5285750.29979183,0,1.53327385884236,0,0
696965.640063541,5285751.29905337,0,1.5327838311948,0,0
696965.678064847,5285752.29827745,0,1.53204257634185,0,0
696965.716806211,5285753.29745733,0,1.53105008943886,0,0
696965.756538751,5285754.29658623,0,1.52980637293936,0,0
696965.797513583,5285755.29565741,0,1.52831143807438,0,0
696965.839981825,5285756.29466409,0,1.52656530671472,0,0
696965.884194595,5285757.29359952,0,1.52456801465104,0,0
696965.930403008,5285758.29245694,0,1.52231961526922,0,0
696965.978858184,5285759.29122958,0,1.5198201826387,0,0
696966.029811239,5285760.28991069,0,1.51707192423164,0,0
696966.083511169,5285761.28849333,0,1.51415385859645,0,0
696966.140127582,5285762.28696413,0,1.51116674443063,0,0
696966.199728682,5285763.28530153,0,1.50811704377482,0,0
696966.262376069,5285764.28348342,0,1.50500465224133,0,0
696966.328131343,5285765.28148769,0,1.50182946482482,0,0
696966.397056104,5285766.27929223,0,1.49859137802188,0,0
696966.469211952,5285767.27687493,0,1.49529028884314,0,0
696966.544660485,5285768.27421368,0,1.49192609602384,0,0
696966.623463305,5285769.27128638,0,1.48849869977408,0,0
696966.70568201,5285770.26807091,0,1.48500800295626,0,0
696966.791378201,5285771.26454517,0,1.48145391094794,0,0
696966.880613477,5285772.26068705,0,1.47783633195181,0,0
696966.973449437,5285773.25647444,0,1.4741551777867,0,0
696967.069947682,5285774.25188523,0,1.47041036437324,0,0
696967.170169812,5285775.24689731,0,1.46660181174436,0,0
696967.274177426,5285776.24148858,0,1.46273126369484,0,0
696967.382030335,5285777.23563731,0,1.45885207279381,0,0
696967.493735858,5285778.22933297,0,1.45502503715411,0,0
696967.609241595,5285779.2225778,0,1.45125352799462,0,0
696967.728491906,5285780.2153747,0,1.44753761260967,0,0
696967.851431152,5285781.20772661,0,1.44387734965755,0,0
696967.978003691,5285782.19963644,0,1.44027279070217,0,0
696968.108153885,5285783.1911071,0,1.43672397932217,0,0
696968.241826094,5285784.18214151,0,1.4332309521798,0,0
696968.378964678,5285785.1727426,0,1.42979373960138,0,0
696968.519513997,5285786.16291328,0,1.42641236442151,0,0
696968.663418412,5285787.15265647,0,1.42308684438361,0,0
696968.810622282,5285788.14197508,0,1.41981719117835,0,0
696968.961069968,5285789.13087205,0,1.41660341055303,0,0
696969.11470583,5285790.11935027,0,1.41344550338194,0,0
696969.271474228,5285791.10741268,0,1.41034346592575,0,0
696969.431319522,5285792.09506218,0,1.40728714609737,0,0
696969.59419591,5285793.08229898,0,1.40403653609075,0,0
696969.76029026,5285794.06905879,0,1.40034759708467,0,0
696969.930025748,5285795.05521183,0,1.39620891548905,0,0
696970.103836111,5285796.04062541,0,1.39161989816489,0,0
696970.282155087,5285797.02516684,0,1.38657990548172,0,0
696970.465416413,5285798.00870341,0,1.38108828038981,0,0
696970.654053827,5285798.99110243,0,1.37514437708607,0,0
696970.848501065,5285799.97223121,0,1.36874759580905,0,0
696971.049191867,5285800.95195704,0,1.36189741920467,0,0
696971.256559969,5285801.93014722,0,1.35459345181156,0,0
696971.471039109,5285802.90666907,0,1.34683546161478,0,0
696971.693063024,5285803.88138988,0,1.33862342692648,0,0
696971.923065453,5285804.85417696,0,1.33007855189305,0,0
696972.16136305,5285805.82492786,0,1.32180953106925,0,0
696972.40768391,5285806.79369218,0,1.31400770221586,0,0
696972.66157159,5285807.76056721,0,1.3066735287527,0,0
696972.922569584,5285808.72565024,0,1.29980714631838,0,0
696973.190221383,5285809.68903858,0,1.29340847885671,0,0
696973.464070481,5285810.65082952,0,1.28747728313873,0,0
696973.743660369,5285811.61112037,0,1.28201319000001,0,0
696974.02853454,5285812.57000841,0,1.27701574537283,0,0
696974.318236487,5285813.52759095,0,1.27248444356866,0,0
696974.612309702,5285814.48396529,0,1.26841876137815,0,0
696974.910297677,5285815.43922873,0,1.26481818712869,0,0
696975.211743905,5285816.39347856,0,1.26168224765991,0,0
696975.516191879,5285817.34681209,0,1.25901052902882,0,0
696975.823185091,5285818.29932661,0,1.25680269997955,0,0
696976.132267033,5285819.25111942,0,1.25505852694979,0,0
696976.442981199,5285820.20228781,0,1.25377788830172,0,0
696976.754871079,5285821.1529291,0,1.2529094402141,0,0
696977.067531122,5285822.1031311,0,1.25207504753142,0,0
696977.380931088,5285823.05291185,0,1.25110572123053,0,0
696977.695208458,5285824.00225817,0,1.25000071150225,0,0
696978.010501494,5285824.95115679,0,1.24876007979579,0,0
696978.326948456,5285825.89959438,0,1.2473839166587,0,0
696978.644687606,5285826.84755766,0,1.24587233919631,0,0
696978.963857206,5285827.79503331,0,1.24422549474905,0,0
696979.284595518,5285828.74200803,0,1.24244356045791,0,0
696979.607040802,5285829.68846853,0,1.24052674227784,0,0
696979.93133132,5285830.6344015,0,1.23847527909901,0,0
696980.257605335,5285831.57979364,0,1.23628944152437,0,0
696980.586001106,5285832.52463164,0,1.23397052304397,0,0
696980.91665594,5285833.46890247,0,1.2321300415714,0,0
696981.249116218,5285834.41275645,0,1.23241884756878,0,0
696981.58133166,5285835.35678532,0,1.23511271934525,0,0
696981.910984981,5285836.30165461,0,1.24021307757954,0,0
696982.235758898,5285837.24802987,0,1.24772278298526,0,0
696982.553336126,5285838.19657665,0,1.25764525215687,0,0
696982.861399382,5285839.14796049,0,1.26998314920234,0,0
696983.15763138,5285840.10284693,0,1.28473665241275,0,0
696983.439714838,5285841.06190152,0,1.30190113546304,0,0
696983.705332609,5285842.02578971,0,1.32105948968478,0,0
696983.952528403,5285842.99495079,0,1.34092448558406,0,0
696984.180489052,5285843.96910754,0,1.36125720764481,0,0
696984.38862721,5285844.94784119,0,1.38207333961076,0,0
696984.576355532,5285845.930733,0,1.4033876358576,0,0
696984.743086672,5285846.91736421,0,1.42515829917813,0,0
696984.888288752,5285847.90731187,0,1.44668027064271,0,0
696985.012146247,5285848.90009915,0,1.46746288763564,0,0
696985.115342208,5285849.89521165,0,1.48750496878806,0,0
696985.198569795,5285850.89213423,0,1.50681719411008,0,0
696985.26252217,5285851.89035176,0,1.52526485135065,0,0
696985.308040404,5285852.88937002,0,1.54132924197247,0,0
696985.337502533,5285853.88891243,0,1.55410118555949,0,0
696985.354197873,5285854.8888314,0,1.56356771092439,0,0
696985.361427696,5285855.88898104,0,1.56973099653693,0,0
696985.362493277,5285856.88921547,0,1.57270662286926,0,0
696985.360582639,5285857.88939303,0,1.57470365781102,0,0
696985.356675047,5285858.88945466,0,1.57773066572478,0,0
696985.349740863,5285859.88941637,0,1.58186077669941,0,0
696985.338677283,5285860.88929694,0,1.58709362480132,0,0
696985.322381505,5285861.88911513,0,1.59342834236132,0,0
696985.299750727,5285862.88888971,0,1.60086337064657,0,0
696985.269682147,5285863.88863943,0,1.60936886153329,0,0
696985.231101416,5285864.88835583,0,1.61876181131701,0,0
696985.183123436,5285865.88784911,0,1.62897156638373,0,0
696985.124940346,5285866.88685554,0,1.64000238010203,0,0
696985.05574451,5285867.88511114,0,1.65185867691033,0,0
696984.974728294,5285868.88235194,0,1.66454461052857,0,0
696984.881084063,5285869.87831397,0,1.67806382039334,0,0
696984.774004184,5285870.87273327,0,1.69241916765994,0,0
696984.652681021,5285871.86534586,0,1.70746294449298,0,0
696984.516454302,5285872.85591347,0,1.72072585069735,0,0
696984.367096895,5285873.84462199,0,1.7301790938087,0,0
696984.208378731,5285874.83200551,0,1.73576363849762,0,0
696984.044128819,5285875.81860838,0,1.73748166726661,0,0
696983.878176169,5285876.80497498,0,1.73533414044247,0,0
696983.71434979,5285877.79164968,0,1.72932002572578,0,0
696983.55647869,5285878.77917683,0,1.71943726015536,0,0
696983.40839188,5285879.76810082,0,1.70568545058088,0,0
696983.273918366,5285880.75896601,0,1.68881878046322,0,0
696983.156152252,5285881.75215673,0,1.67177636265001,0,0
696983.055306519,5285882.74742996,0,1.65527062958993,0,0
696982.970888209,5285883.74438893,0,1.63929304383062,0,0
696982.902404364,5285884.74263688,0,1.62383452298906,0,0
696982.849362025,5285885.74177706,0,1.60888557253458,0,0
696982.811268233,5285886.74141272,0,1.59447660179417,0,0
696982.787589314,5285887.74116852,0,1.5810377333736,0,0
696982.777350285,5285888.7409015,0,1.56884010563464,0,0
696982.77930594,5285889.74061095,0,1.55789176571848,0,0
696982.792207182,5285890.74029824,0,1.54819490642472,0,0
696982.814804911,5285891.7399647,0,1.53975022294911,0,0
696982.845850031,5285892.73961169,0,1.53255736666427,0,0
696982.884093441,5285893.73924057,0,1.52661534388005,0,0
696982.928286045,5285894.73885267,0,1.5219228530998,0,0
696982.977178742,5285895.73844936,0,1.51847856379964,0,0
696983.029522434,5285896.73803197,0,1.5162813353098,0,0
696983.084068024,5285897.73760187,0,1.51533037695262,0,0
696983.139566412,5285898.7371604,0,1.51562534977225,0,0
696983.1947685,5285899.73670892,0,1.51716641089688,0,0
696983.24842519,5285900.73624876,0,1.51995419956875,0,0
696983.299287383,5285901.7357813,0,1.52398976583472,0,0
696983.34610598,5285902.73530786,0,1.5292744414105,0,0
696983.387631883,5285903.73482982,0,1.53580965212924,0,0
696983.422615993,5285904.7343485,0,1.54359667006739,0,0
696983.449809213,5285905.73386528,0,1.55263630671377,0,0
696983.467962443,5285906.73338149,0,1.56292854696088,0,0
696983.475826585,5285907.73289849,0,1.57447212242576,0,0
696983.47215254,5285908.73241762,0,1.58726402977424,0,0
696983.455691211,5285909.73194025,0,1.58726402977424,0,0
