x,y,z,yaw,mps,change_flag
294318.725483673,5601379.48983314,0,-2.04967927567609,0,0
294318.260167918,5601378.5936023,0,-2.05264773198275,0,0
294317.792486103,5601377.69931561,0,-2.05553421479128,0,0
294317.322508134,5601376.80692042,0,-2.05833840560995,0,0
294316.850303918,5601375.91636405,0,-2.06106000012219,0,0
294316.375943359,5601375.02759383,0,-2.06369870928251,0,0
294315.899496364,5601374.1405571,0,-2.06625425568431,0,0
294315.42103284,5601373.25520118,0,-2.06872637520599,0,0
294314.94062269,5601372.3714734,0,-2.07111481731824,0,0
294314.458335822,5601371.48932111,0,-2.07341934088986,0,0
294313.974242142,5601370.60869162,0,-2.07563971904287,0,0
294313.488411554,5601369.72953226,0,-2.07777573430081,0,0
294313.000913966,5601368.85179038,0,-2.07982718029381,0,0
294312.511819283,5601367.9754133,0,-2.08179386091052,0,0
294312.021197411,5601367.10034834,0,-2.08367558945065,0,0
294311.529118255,5601366.22654285,0,-2.08547219052416,0,0
294311.035651723,5601365.35394415,0,-2.08718349517874,0,0
294310.540867718,5601364.48249958,0,-2.08880934449236,0,0
294310.044836148,5601363.61215646,0,-2.09034958935935,0,0
294309.547626919,5601362.74286213,0,-2.09180408617038,0,0
294309.049309935,5601361.87456391,0,-2.09317270080443,0,0
294308.549955104,5601361.00720914,0,-2.09445530582081,0,0
294308.049632331,5601360.14074515,0,-2.09565178313379,0,0
294307.548411521,5601359.27511927,0,-2.09676201736875,0,0
294307.046362581,5601358.41027883,0,-2.09778590398101,0,0
294306.543555417,5601357.54617116,0,-2.09872334361262,0,0
294306.040059934,5601356.68274359,0,-2.09957424147746,0,0
294305.535946038,5601355.81994346,0,-2.10033851206807,0,0
294305.031283636,5601354.95771808,0,-2.10101607327749,0,0
294304.526142633,5601354.09601481,0,-2.10160684855161,0,0
294304.020592934,5601353.23478096,0,-2.10211076983843,0,0
294303.514704447,5601352.37396387,0,-2.10252777180502,0,0
294303.008547076,5601351.51351086,0,-2.10285779441111,0,0
294302.502190728,5601350.65336928,0,-2.10310078576903,0,0
294301.995705308,5601349.79348644,0,-2.10325669655071,0,0
294301.489160723,5601348.93380969,0,-2.10332548247702,0,0
294300.982626878,5601348.07428634,0,-2.10330710781082,0,0
294300.476173679,5601347.21486374,0,-2.10320153681783,0,0
294299.969871032,5601346.35548921,0,-2.10300874442674,0,0
294299.463788843,5601345.49611009,0,-2.10272870591131,0,0
294298.957997018,5601344.6366737,0,-2.10236140481696,0,0
294298.452565462,5601343.77712738,0,-2.10190682963871,0,0
294297.947564082,5601342.91741845,0,-2.10136497281288,0,0
294297.443062783,5601342.05749426,0,-2.10073583480926,0,0
294296.939131472,5601341.19730212,0,-2.10001941786127,0,0
294296.435840054,5601340.33678937,0,-2.09921573503263,0,0
294295.933258435,5601339.47590334,0,-2.09832480050323,0,0
294295.43145652,5601338.61459137,0,-2.09734663805624,0,0
294294.930504217,5601337.75280078,0,-2.09628127550909,0,0
294294.43047143,5601336.8904789,0,-2.09512874973337,0,0
294293.931428066,5601336.02757307,0,-2.09388910096609,0,0
294293.43344403,5601335.16403061,0,-2.09256237982344,0,0
294292.936589229,5601334.29979886,0,-2.09114864237853,0,0
294292.440933568,5601333.43482514,0,-2.08964795232992,0,0
294291.946546953,5601332.5690568,0,-2.08806038321142,0,0
294291.453499289,5601331.70244115,0,-2.08638601342443,0,0
294290.961860484,5601330.83492554,0,-2.08462493387284,0,0
294290.471700442,5601329.96645728,0,-2.08277724059086,0,0
294289.98308907,5601329.09698372,0,-2.08084304222373,0,0
294289.496096274,5601328.22645218,0,-2.07882245526763,0,0
294289.010791959,5601327.35480999,0,-2.07671560748123,0,0
294288.527246031,5601326.48200449,0,-2.07452263513033,0,0
294288.045528396,5601325.60798301,0,-2.07224368820399,0,0
294287.56570896,5601324.73269287,0,-2.06987892714814,0,0
294287.087857629,5601323.85608141,0,-2.06742852249103,0,0
294286.612044309,5601322.97809596,0,-2.06489266064481,0,0
294286.138338906,5601322.09868385,0,-2.06227153780203,0,0
294285.666811325,5601321.21779241,0,-2.05956536507105,0,0
294285.197531472,5601320.33536897,0,-2.05677436722691,0,0
294284.730569254,5601319.45136086,0,-2.05389878385171,0,0
294284.265994576,5601318.56571542,0,-2.05093886823304,0,0
294283.803877344,5601317.67837997,0,-2.0478948903483,0,0
294283.344287464,5601316.78930185,0,-2.04476713577181,0,0
294282.887294841,5601315.89842838,0,-2.04155809728323,0,0
294282.432967518,5601315.00570808,0,-2.03940170322451,0,0
294281.980407885,5601314.11169718,0,-2.04127993820592,0,0
294281.526176818,5601313.2185515,0,-2.04768056789744,0,0
294281.066422025,5601312.32868688,0,-2.05861562716091,0,0
294280.597291212,5601311.44451913,0,-2.07410290005311,0,0
294280.114932088,5601310.5684641,0,-2.09415919132707,0,0
294279.615492359,5601309.70293763,0,-2.1187906591588,0,0
294279.095119734,5601308.85035555,0,-2.1479346923479,0,0
294278.55000413,5601308.01311514,0,-2.17926396308215,0,0
294277.978456791,5601307.19268132,0,-2.20947128245129,0,0
294277.381860081,5601306.38916922,0,-2.23833219737977,0,0
294276.761836722,5601305.60258829,0,-2.26588752698566,0,0
294276.120009436,5601304.83294801,0,-2.29218242959929,0,0
294275.458000947,5601304.08025786,0,-2.31726501260616,0,0
294274.777433976,5601303.34452729,0,-2.34137965101786,0,0
294274.079771739,5601302.62588114,0,-2.36699788980084,0,0
294273.364485096,5601301.92588496,0,-2.39578405677608,0,0
294272.629690774,5601301.24708354,0,-2.42775863555276,0,0
294271.873479629,5601300.59204037,0,-2.4628816144607,0,0
294271.093942518,5601299.96331895,0,-2.50107493228627,0,0
294270.289172945,5601299.36348487,0,-2.54229298851253,0,0
294269.458138512,5601298.79579762,0,-2.58681240678639,0,0
294268.60193914,5601298.26520939,0,-2.63499341476769,0,0
294267.721993774,5601297.77692562,0,-2.68717494733513,0,0
294266.819721361,5601297.33615174,0,-2.74366754404994,0,0
