x,y,z,yaw,mps,change_flag
294324.273803072,5601376.44104085,0,-2.09005380701729,0,0
294323.777564644,5601375.57284807,0,-2.09145342179559,0,0
294323.2801141,5601374.70535509,0,-2.09275550221667,0,0
294322.781535915,5601373.83851315,0,-2.09396004150432,0,0
294322.281914564,5601372.97227347,0,-2.09506703590161,0,0
294321.781334523,5601372.10658727,0,-2.09607648226609,0,0
294321.279880266,5601371.24140577,0,-2.09698837961686,0,0
294320.77763627,5601370.3766802,0,-2.09780272816862,0,0
294320.27468701,5601369.51236178,0,-2.09851952617199,0,0
294319.77111696,5601368.64840173,0,-2.0991387764756,0,0
294319.267010596,5601367.78475128,0,-2.09966047967917,0,0
294318.762452393,5601366.92136165,0,-2.10008463649765,0,0
294318.257526827,5601366.05818407,0,-2.10041124865444,0,0
294317.752318372,5601365.19516975,0,-2.10064031672949,0,0
294317.246911505,5601364.33226993,0,-2.10077184199763,0,0
294316.7413907,5601363.46943582,0,-2.10080582495183,0,0
294316.235840433,5601362.60661865,0,-2.10074226526511,0,0
294315.730345178,5601361.74376964,0,-2.10058116272276,0,0
294315.224989412,5601360.88084002,0,-2.10032251766043,0,0
294314.719857609,5601360.017781,0,-2.0999663283873,0,0
294314.215034245,5601359.15454382,0,-2.09951259420249,0,0
294313.710603795,5601358.2910797,0,-2.09896131302722,0,0
294313.206650734,5601357.42733985,0,-2.09831248561008,0,0
294312.703259537,5601356.56327551,0,-2.09756610891174,0,0
294312.200514681,5601355.69883789,0,-2.09672218341294,0,0
294311.698500639,5601354.83397822,0,-2.09578070835232,0,0
294311.197301888,5601353.96864773,0,-2.09474168557928,0,0
294310.697002902,5601353.10279763,0,-2.09360511523342,0,0
294310.197688157,5601352.23637915,0,-2.09237100217664,0,0
294309.699442128,5601351.36934352,0,-2.09103935003546,0,0
294309.202349291,5601350.50164195,0,-2.08961016648488,0,0
294308.70649412,5601349.63322567,0,-2.08813520720772,0,0
294308.211916333,5601348.76407189,0,-2.08688336043774,0,0
294307.71842307,5601347.89429275,0,-2.08594167579989,0,0
294307.225746168,5601347.02404414,0,-2.08531018457525,0,0
294306.733617425,5601346.15348194,0,-2.08498887730341,0,0
294306.241768639,5601345.28276204,0,-2.08497775188062,0,0
294305.749931609,5601344.41204033,0,-2.08527681067007,0,0
294305.257838132,5601343.54147269,0,-2.08588606582669,0,0
294304.765220007,5601342.67121502,0,-2.08680553298945,0,0
294304.271809031,5601341.80142321,0,-2.08803523369661,0,0
294303.777337004,5601340.93225314,0,-2.0895751905439,0,0
294303.281535722,5601340.06386071,0,-2.0914254232671,0,0
294302.784136984,5601339.1964018,0,-2.09358419826004,0,0
294302.284874096,5601338.33003142,0,-2.09582326593195,0,0
294301.783677056,5601337.46478878,0,-2.09769010647648,0,0
294301.280865786,5601336.60048359,0,-2.09913138997859,0,0
294300.776806133,5601335.73689852,0,-2.10014710237024,0,0
294300.271863945,5601334.87381623,0,-2.10073724552161,0,0
294299.766405068,5601334.01101938,0,-2.10090183298368,0,0
294299.26079535,5601333.14829065,0,-2.10064088577184,0,0
294298.755400638,5601332.28541271,0,-2.09995443089924,0,0
294298.25058678,5601331.42216821,0,-2.098842505584,0,0
294297.746719622,5601330.55833984,0,-2.09730515707458,0,0
294297.244165012,5601329.69371024,0,-2.09534245194202,0,0
294296.743288797,5601328.8280621,0,-2.09295448197263,0,0
294296.244456824,5601327.96117808,0,-2.09024528072933,0,0
294295.747946288,5601327.09289517,0,-2.08791927072304,0,0
294295.253433375,5601326.22341865,0,-2.08626870759263,0,0
294294.760344732,5601325.35310676,0,-2.08529436117358,0,0
294294.268106196,5601324.48231817,0,-2.08499615705218,0,0
294293.776143605,5601323.6114116,0,-2.08537413724239,0,0
294293.283882794,5601322.74074576,0,-2.08642846064589,0,0
294292.790749603,5601321.87067934,0,-2.08815940313731,0,0
294292.296169867,5601321.00157105,0,-2.09056734082619,0,0
294291.799569424,5601320.1337796,0,-2.09365272620958,0,0
294291.300374112,5601319.26766368,0,-2.0974160551736,0,0
294290.798009767,5601318.40358201,0,-2.10184880418021,0,0
294290.291909768,5601317.54188832,0,-2.10636159814284,0,0
294289.782000358,5601316.68261214,0,-2.11001076515678,0,0
294289.268995881,5601315.82526455,0,-2.11271078255817,0,0
294288.753681383,5601314.96931011,0,-2.11446114070836,0,0
294288.23684191,5601314.11421342,0,-2.11526169809093,0,0
294287.719262506,5601313.25943902,0,-2.11511263188331,0,0
294287.201728217,5601312.40445151,0,-2.11401441985059,0,0
294286.685024088,5601311.54871545,0,-2.11196783945189,0,0
294286.169935164,5601310.69169541,0,-2.10897399940884,0,0
294285.65724649,5601309.83285597,0,-2.10503439340712,0,0
294285.147743112,5601308.9716617,0,-2.10015097921475,0,0
294284.642210074,5601308.10757717,0,-2.09432627980776,0,0
294284.141432422,5601307.24006696,0,-2.08756354905676,0,0
294283.64619517,5601306.36859566,0,-2.08163180152387,0,0
294283.155826611,5601305.49365014,0,-2.08301268669368,0,0
294282.664301753,5601304.61947407,0,-2.09320419590421,0,0
294282.164366202,5601303.75117387,0,-2.11225285849479,0,0
294281.648765564,5601302.89385594,0,-2.14022201606188,0,0
294281.110245446,5601302.05262671,0,-2.17714681026115,0,0
294280.541551456,5601301.23259259,0,-2.22210365463677,0,0
294279.936198395,5601300.43844666,0,-2.26714860563494,0,0
294279.294671741,5601299.67113623,0,-2.30816469326465,0,0
294278.621166502,5601298.92961526,0,-2.34523503553048,0,0
294277.919912124,5601298.2128192,0,-2.37850417578172,0,0
294277.195138051,5601297.5196835,0,-2.40830305208506,0,0
294276.450815643,5601296.8491538,0,-2.43612728973228,0,0
294275.688906364,5601296.20025514,0,-2.4626180138601,0,0
294274.910429124,5601295.57204977,0,-2.48775431388115,0,0
294274.116397411,5601294.96360018,0,-2.51152071865392,0,0
294273.307824718,5601294.37396883,0,-2.53390967187125,0,0
294272.485724524,5601293.80221822,0,-2.55571445488066,0,0
294271.650806155,5601293.24816437,0,-2.57984318916419,0,0
294270.802674524,5601292.71435937,0,-2.607003406053,0,0
294269.940683948,5601292.20397612,0,-2.637247382248,0,0
294269.064188747,5601291.72018754,0,-2.67061650590098,0,0
294268.17254324,5601291.26616652,0,-2.70713240240327,0,0
294267.265101748,5601290.84508598,0,-2.74594127254036,0,0
294266.341659074,5601290.45938554,0,-2.78385297416446,0,0
294265.403669614,5601290.10874212,0,-2.82016113739631,0,0
294264.45297855,5601289.79218207,0,-2.8549265866294,0,0
294263.491431066,5601289.50873176,0,-2.88821990969614,0,0
294262.520872346,5601289.25741754,0,-2.92011886364343,0,0
294261.543147573,5601289.03726577,0,-2.95060432193938,0,0
294260.560002299,5601288.84717963,0,-2.97900187631664,0,0
294259.572473928,5601288.68518663,0,-3.00498493644335,0,0
294258.581293168,5601288.54893507,0,-3.02854394164518,0,0
294257.587189498,5601288.43607173,0,-3.04968267014207,0,0
294256.590892395,5601288.34424336,0,-3.06834582702792,0,0
294255.593126693,5601288.27102921,0,-3.08274980778108,0,0
294254.59449278,5601288.21219883,0,-3.09094540848611,0,0
294253.595455938,5601288.16155706,0,-3.09283466788078,0,0
294252.596474668,5601288.11281011,0,-3.0884153388628,0,0
294251.59800747,5601288.0596642,0,-3.0776808228889,0,0
294250.600512845,5601287.99582555,0,-3.06082270972694,0,0
294249.6044387,5601287.91519728,0,-3.04122656492541,0,0
294248.610051361,5601287.81505804,0,-3.02174254091919,0,0
294247.617464535,5601287.69552352,0,-3.00246593708643,0,0
294246.626787184,5601287.5567976,0,-2.98340294106155,0,0
294245.63812827,5601287.39908419,0,-2.96455899382773,0,0
294244.651596756,5601287.22258719,0,-2.94501418567932,0,0
294243.667721524,5601287.02664808,0,-2.92030868491369,0,0
294242.689043196,5601286.80647679,0,-2.88901975907924,0,0
294241.718704128,5601286.55604743,0,-2.85103901852239,0,0
294240.759846787,5601286.26933392,0,-2.80629391957428,0,0
294239.815613642,5601285.94031013,0,-2.75494850976088,0,0
294238.889125334,5601285.56310207,0,-2.70119330003676,0,0
294237.982901075,5601285.13602714,0,-2.64944908446683,0,0
294237.098797587,5601284.66201972,0,-2.5997450734531,0,0
294236.238637515,5601284.14425165,0,-2.55185447232884,0,0
294235.404243506,5601283.58589477,0,-2.50553386466907,0,0
294234.597438206,5601282.99012093,0,-2.4614644409096,0,0
294233.819052712,5601282.36050556,0,-2.42357947139929,0,0
294233.065648052,5601281.70236227,0,-2.39304185171074,0,0
294232.33263604,5601281.0214724,0,-2.36986971586854,0,0
294231.615428472,5601280.32361734,0,-2.35387919353012,0,0
294230.909542196,5601279.6144548,0,-2.34070114400292,0,0
294230.213319223,5601278.89631689,0,-2.32560444828541,0,0
294229.52817456,5601278.16791839,0,-2.30835566527075,0,0
294228.85567794,5601277.42779194,0,-2.28896607055536,0,0
294228.197399094,5601276.67447019,0,-2.26745410054545,0,0
294227.554910377,5601275.90648596,0,-2.24326561637942,0,0
294226.93058107,5601275.12242968,0,-2.21496527985975,0,0
294226.328694705,5601274.32103011,0,-2.18224441136026,0,0
294225.753816343,5601273.50103634,0,-2.14500056664069,0,0
294225.210511043,5601272.66119748,0,-2.10316276574197,0,0
294224.703336252,5601271.8002663,0,-2.05942692336014,0,0
294224.234391347,5601270.91817814,0,-2.02046055349917,0,0
294223.7998037,5601270.0177415,0,-1.98726990673364,0,0
294223.394811205,5601269.10219283,0,-1.95981554865044,0,0
294223.014651755,5601268.17476854,0,-1.93802981675586,0,0
294222.654563242,5601267.23870508,0,-1.92182811579832,0,0
294222.309795952,5601266.2972278,0,-1.90983168915715,0,0
294221.976672486,5601265.35260377,0,-1.8996962277318,0,0
294221.653400673,5601264.40541524,0,-1.89119408457431,0,0
294221.338379729,5601263.45607344,0,-1.88433253918261,0,0
294221.030008864,5601262.50498961,0,-1.87911657668432,0,0
294220.726687293,5601261.55257499,0,-1.87554943403367,0,0
294220.426814227,5601260.5992408,0,-1.8736330169432,0,0
294220.128788881,5601259.64539828,0,-1.87336818813286,0,0
294219.831010467,5601258.69145866,0,-1.8745034001496,0,0
294219.532122248,5601257.73777132,0,-1.87591048824864,0,0
294219.231861782,5601256.78440825,0,-1.87727346759758,0,0
294218.930273206,5601255.83136375,0,-1.87859236311231,0,0
294218.627400675,5601254.87863212,0,-1.87986721277686,0,0
294218.323288343,5601253.92620765,0,-1.8810980539117,0,0
294218.017980363,5601252.97408464,0,-1.88228492327984,0,0
294217.711520888,5601252.02225737,0,-1.88342785463507,0,0
294217.403954072,5601251.07072013,0,-1.88452688189323,0,0
294217.09532407,5601250.11946722,0,-1.88558203685306,0,0
294216.785675034,5601249.16849294,0,-1.88659334975953,0,0
294216.475051118,5601248.21779157,0,-1.88756084895545,0,0
294216.163496477,5601247.26735741,0,-1.88848456134797,0,0
294215.851055263,5601246.31718474,0,-1.88936451292742,0,0
294215.53777163,5601245.36726787,0,-1.89020072606905,0,0
294215.223689732,5601244.41760108,0,-1.89099322346377,0,0
294214.908853723,5601243.46817867,0,-1.89174202419874,0,0
294214.593307756,5601242.51899493,0,-1.89244714654879,0,0
294214.277095985,5601241.57004414,0,-1.89310860602797,0,0
294213.960262563,5601240.62132062,0,-1.89372640239007,0,0
294213.642851598,5601239.67281845,0,-1.89430018424584,0,0
294213.324906023,5601238.72452712,0,-1.89482956736241,0,0
294213.006467534,5601237.77643117,0,-1.89531452659678,0,0
294212.687577766,5601236.82851495,0,-1.89575505706095,0,0
294212.368278357,5601235.88076279,0,-1.89615115191454,0,0
294212.048610943,5601234.93315903,0,-1.89650280682729,0,0
294211.728617161,5601233.985688,0,-1.89681001719348,0,0
294211.408338647,5601233.03833403,0,-1.89707277873741,0,0
294211.087817038,5601232.09108145,0,-1.89729108770575,0,0
294210.767093971,5601231.1439146,0,-1.89746494172666,0,0
294210.446211082,5601230.19681782,0,-1.89759433667534,0,0
294210.125210008,5601229.24977543,0,-1.89767927160139,0,0
294209.804132386,5601228.30277178,0,-1.89771974285355,0,0
294209.483019851,5601227.35579119,0,-1.8977157506059,0,0
294209.161914041,5601226.40881801,0,-1.89766729223626,0,0
294208.840856593,5601225.46183655,0,-1.89757436799375,0,0
294208.519889142,5601224.51483116,0,-1.89743697639727,0,0
294208.199053326,5601223.56778618,0,-1.89725511838028,0,0
294207.878390781,5601222.62068592,0,-1.89702879390049,0,0
294207.557943143,5601221.67351474,0,-1.89675800379007,0,0
294207.23775205,5601220.72625696,0,-1.89644745375001,0,0
294206.91785468,5601219.77889842,0,-1.89615000131912,0,0
294206.598238123,5601218.83144181,0,-1.89589889695577,0,0
294206.278857963,5601217.88390046,0,-1.89569465780542,0,0
294205.959669293,5601216.93628784,0,-1.89553728508208,0,0
294205.640627205,5601215.98861742,0,-1.89542677681045,0,0
294205.321686792,5601215.04090268,0,-1.8953631338149,0,0
294205.002803147,5601214.0931571,0,-1.89534635328738,0,0
294204.683931364,5601213.14539415,0,-1.89537643500882,0,0
294204.365026535,5601212.19762732,0,-1.8954533752994,0,0
294204.046043752,5601211.24987007,0,-1.89557717317787,0,0
294203.72693811,5601210.30213589,0,-1.89574782432634,0,0
294203.4076647,5601209.35443825,0,-1.89596532592477,0,0
294203.088178616,5601208.40679063,0,-1.89622967368948,0,0
