x,y,z,yaw,mps,change_flag
294313.049619187,5601381.57040029,0,-2.10524569443147,0,0
294312.54002708,5601380.7094712,0,-2.10385428411507,0,0
294312.031662599,5601379.84788344,0,-2.10251663534144,0,0
294311.524478115,5601378.9856624,0,-2.10123277050797,0,0
294311.018426001,5601378.1228335,0,-2.10000271053304,0,0
294310.51345863,5601377.25942216,0,-2.09882647426384,0,0
294310.009528372,5601376.39545378,0,-2.09770407913431,0,0
294309.506587601,5601375.53095377,0,-2.09663554054809,0,0
294309.004588688,5601374.66594756,0,-2.09562087337909,0,0
294308.503484006,5601373.80046054,0,-2.09466009085972,0,0
294308.003225927,5601372.93451814,0,-2.09375320483567,0,0
294307.503766823,5601372.06814576,0,-2.09290022605055,0,0
294307.005059066,5601371.20136882,0,-2.0921011641237,0,0
294306.507055028,5601370.33421273,0,-2.09135602731238,0,0
294306.009707082,5601369.46670289,0,-2.09066482428326,0,0
294305.5129676,5601368.59886473,0,-2.09002756103497,0,0
294305.016788953,5601367.73072365,0,-2.08944424399811,0,0
294304.521123515,5601366.86230507,0,-2.08891487808033,0,0
294304.025923657,5601365.99363439,0,-2.08843946928461,0,0
294303.531141751,5601365.12473704,0,-2.08801801973256,0,0
294303.036730169,5601364.25563841,0,-2.08765053411053,0,0
294302.542641285,5601363.38636393,0,-2.08733701396871,0,0
294302.048827469,5601362.51693901,0,-2.08707746318147,0,0
294301.555241094,5601361.64738905,0,-2.08687188219062,0,0
294301.061834533,5601360.77773947,0,-2.08672027273447,0,0
294300.568560157,5601359.90801568,0,-2.08662263546442,0,0
294300.075370338,5601359.0382431,0,-2.08657897031323,0,0
294299.582217449,5601358.16844713,0,-2.08658927747666,0,0
294299.089053862,5601357.29865319,0,-2.0866535568529,0,0
294298.595831949,5601356.42888668,0,-2.08677180646091,0,0
294298.102504082,5601355.55917303,0,-2.08694402478232,0,0
294297.609022634,5601354.68953764,0,-2.08717021121189,0,0
294297.115339976,5601353.82000592,0,-2.08745036144497,0,0
294296.621408481,5601352.95060329,0,-2.08778447384418,0,0
294296.127180521,5601352.08135516,0,-2.08817254363785,0,0
294295.632608468,5601351.21228694,0,-2.08861456857122,0,0
294295.137644694,5601350.34342404,0,-2.08911054303874,0,0
294294.642241572,5601349.47479188,0,-2.08966046044454,0,0
294294.146351473,5601348.60641586,0,-2.09026431767799,0,0
294293.64992677,5601347.7383214,0,-2.09092210567967,0,0
294293.152919835,5601346.87053391,0,-2.09163381846838,0,0
294292.655283039,5601346.00307881,0,-2.09239944687175,0,0
294292.156968756,5601345.13598149,0,-2.09321898221735,0,0
294291.657929358,5601344.26926739,0,-2.09409241394896,0,0
294291.158117216,5601343.40296189,0,-2.09501383096186,0,0
294290.657490115,5601342.537088,0,-2.09588364368415,0,0
294290.156097179,5601341.67162766,0,-2.09661901950986,0,0
294289.654063539,5601340.80652869,0,-2.09721747483941,0,0
294289.151516644,5601339.94173785,0,-2.0976790388274,0,0
294288.648583944,5601339.07720191,0,-2.09800372495919,0,0
294288.145392886,5601338.21286766,0,-2.09819153297974,0,0
294287.64207092,5601337.34868185,0,-2.09824244651665,0,0
294287.138745492,5601336.48459126,0,-2.09815643629787,0,0
294286.635544052,5601335.62054267,0,-2.09793345642847,0,0
294286.132594049,5601334.75648284,0,-2.09757344752137,0,0
294285.63002293,5601333.89235855,0,-2.09707634012803,0,0
294285.127958134,5601333.02811655,0,-2.09644895333442,0,0
294284.62651605,5601332.16369834,0,-2.09571125519411,0,0
294284.125781044,5601331.29903005,0,-2.09486686523333,0,0
294283.625831712,5601330.43403506,0,-2.09391581712008,0,0
294283.126746651,5601329.56863677,0,-2.09285816385504,0,0
294282.628604458,5601328.70275855,0,-2.09169397560881,0,0
294282.131483729,5601327.83632378,0,-2.0904233435237,0,0
294281.63546306,5601326.96925586,0,-2.08904637657977,0,0
294281.140621049,5601326.10147815,0,-2.08756320415573,0,0
294280.647036293,5601325.23291406,0,-2.08597397634702,0,0
294280.154787386,5601324.36348695,0,-2.08427886278118,0,0
294279.663952927,5601323.49312021,0,-2.0824780547276,0,0
294279.174611512,5601322.62173723,0,-2.08057176568867,0,0
294278.686841738,5601321.74926138,0,-2.07856022984376,0,0
294278.200722201,5601320.87561606,0,-2.07644370622267,0,0
294277.716331497,5601320.00072464,0,-2.07422247413236,0,0
294277.233748224,5601319.12451051,0,-2.07189684015114,0,0
294276.753050978,5601318.24689705,0,-2.06946713266334,0,0
294276.274318356,5601317.36780764,0,-2.06693370581495,0,0
294275.797628954,5601316.48716567,0,-2.06429693958701,0,0
294275.323061368,5601315.60489452,0,-2.061557240556,0,0
294274.850694197,5601314.72091758,0,-2.05871504082777,0,0
294274.380606035,5601313.83515822,0,-2.05577086955568,0,0
294273.912875424,5601312.94753986,0,-2.05642121254799,0,0
294273.444504146,5601312.06010555,0,-2.07433426891948,0,0
294272.961145764,5601311.1827162,0,-2.11284590733245,0,0
294272.445838081,5601310.32703478,0,-2.17190724828297,0,0
294271.8818356,5601309.5045967,0,-2.23940340605052,0,0
294271.2627009,5601308.72087143,0,-2.29826142589833,0,0
294270.596592029,5601307.97273948,0,-2.34739880295572,0,0
294269.892773864,5601307.25642999,0,-2.38717228229379,0,0
294269.160502698,5601306.56817759,0,-2.42078864824159,0,0
294268.406521754,5601305.90581182,0,-2.45524264321052,0,0
294267.631580772,5601305.27096605,0,-2.49159649657418,0,0
