x,y,z,yaw,mps,change_flag
726109.685600807,5225054.17178018,0,-0.834712213701955,0,0
726110.367493001,5225053.41908528,0,-0.904361932478915,0,0
726110.989905964,5225052.62768137,0,-0.970419689462171,0,0
726111.555784722,5225051.80120681,0,-1.03248320809569,0,0
726112.068074304,5225050.94329996,0,-1.09031677253386,0,0
726112.529719736,5225050.05759917,0,-1.14382709533791,0,0
726112.943666046,5225049.1477428,0,-1.1930330625858,0,0
726113.31285826,5225048.21736921,0,-1.23803471969037,0,0
726113.640241406,5225047.27011676,0,-1.2789849957609,0,0
726113.928760511,5225046.3096238,0,-1.31606464852502,0,0
726114.181361945,5225045.33952839,0,-1.34801251108026,0,0
726114.402562554,5225044.36311611,0,-1.37063321250109,0,0
726114.601481486,5225043.38263961,0,-1.38310846540373,0,0
726114.78807657,5225042.40016332,0,-1.38542195449357,0,0
726114.972305631,5225041.41775163,0,-1.37758461091938,0,0
726115.164101553,5225040.43746257,0,-1.36453168309114,0,0
726115.368601043,5225039.46012066,0,-1.35708799844185,0,0
726115.580471823,5225038.48385806,0,-1.35668788700703,0,0
726115.793000354,5225037.50645168,0,-1.36330579540504,0,0
726115.999473098,5225036.52567844,0,-1.3728078227715,0,0
726116.197071687,5225035.54072278,0,-1.36409675375781,0,0
726116.403132348,5225034.55805195,0,-1.33021501725213,0,0
726116.641490508,5225033.5864817,0,-1.27068742691331,0,0
726116.935984771,5225032.6348289,0,-1.18902096717965,0,0
726117.306931806,5225031.71086328,0,-1.11000841143521,0,0
726117.751440182,5225030.81545416,0,-1.04358097530667,0,0
726118.257226258,5225029.94667832,0,-0.988995271015414,0,0
726118.812236985,5225029.10287079,0,-0.928818964024182,0,0
726119.416395159,5225028.29476417,0,-0.837834923425848,0,0
726120.086434988,5225027.55049449,0,-0.71237657793123,0,0
726120.840269191,5225026.89943088,0,-0.569418810941009,0,0
726121.683128181,5225026.35987563,0,-0.443596561183537,0,0
726122.593862509,5225025.92711136,0,-0.33630334965922,0,0
726123.548032589,5225025.59354965,0,-0.244266848462933,0,0
726124.523261253,5225025.35047992,0,-0.169023536281217,0,0
726125.510322439,5225025.1820362,0,-0.112599991943127,0,0
726126.505155188,5225025.06954221,0,-0.07519397392532,0,0
726127.503710806,5225024.99431501,0,-0.055963916244065,0,0
726128.502208366,5225024.93837676,0,-0.0465601279263684,0,0
726129.49995752,5225024.89188783,0,-0.041703528542042,0,0
726130.49825131,5225024.85023131,0,-0.0413249129097954,0,0
726131.498415361,5225024.80887607,0,-0.0462106534021151,0,0
726132.501449353,5225024.76249219,0,-0.0677360953468621,0,0
726133.503760826,5225024.6944955,0,-0.11463012915455,0,0
726134.498362598,5225024.57998216,0,-0.187724587540063,0,0
726135.478187894,5225024.39385328,0,-0.283514542148477,0,0
726136.4362144,5225024.11471948,0,-0.382845373643262,0,0
726137.365650257,5225023.74042099,0,-0.479928015775331,0,0
726138.259778057,5225023.27501017,0,-0.575980230305437,0,0
726139.110770645,5225022.72234301,0,-0.681128726158029,0,0
726139.898297887,5225022.08402862,0,-0.805061741402747,0,0
726140.594148367,5225021.36025975,0,-0.952051990405247,0,0
726141.170159056,5225020.55127309,0,-1.10471179795102,0,0
726141.61634743,5225019.66430661,0,-1.22494418753231,0,0
726141.956726017,5225018.71968963,0,-1.30939192024641,0,0
726142.219035789,5225017.73918728,0,-1.36083303761814,0,0
726142.430998121,5225016.74454491,0,-1.38816586180498,0,0
726142.614398615,5225015.75151834,0,-1.4082329897385,0,0
726142.776774487,5225014.76148585,0,-1.42326448114969,0,0
726142.923569034,5225013.77371286,0,-1.43311100790833,0,0
726143.060225552,5225012.78746478,0,-1.43767910206386,0,0
726143.192187338,5225011.80200703,0,-1.43702384694359,0,0
726143.324797142,5225010.81661872,0,-1.43367833809778,0,0
726143.460805901,5225009.83093254,0,-1.43034283908366,0,0
