x,y,z,yaw,mps,change_flag
696983.3302384537,5285908.3211854445,0.0,1.5214177644681026,3.0,0
696982.9284206064,5285906.765296708,0.0,1.7834821305221276,3.0,0
696983.0624155926,5285904.779280991,0.0,2.1161979845803742,3.0,0
696981.8004944376,5285905.313550178,0.0,2.395423883160867,3.0,0
696982.8652724818,5285903.981323645,0.0,2.6443593458709334,3.0,0
696981.7344700997,5285903.8984449105,0.0,2.910169219451417,3.0,0
696982.1115716491,5285903.168343239,0.0,-3.077484479841492,3.0,0
696982.9689121309,5285902.926164386,0.0,-2.7919373002481684,3.0,0
696982.0354658369,5285901.87812814,0.0,-2.533963489533855,3.0,0
696982.9507802391,5285901.837648231,0.0,-2.2462431927826687,3.0,0
696982.4980342829,5285899.8976242645,0.0,-1.9472913964408871,3.0,0
696982.5349535575,5285897.900993833,0.0,-1.687635611404307,3.0,0
696982.7370629911,5285895.911960365,0.0,-1.5567472265406987,3.0,0
696982.879610575,5285893.918050512,0.0,-1.5327392693414739,3.0,0
696982.962249387,5285891.921062848,0.0,-1.537401492797926,3.0,0
696983.0574683676,5285889.924507168,0.0,-1.5342543992481517,3.0,0
696983.1768076634,5285887.9294141475,0.0,-1.5253185056272232,3.0,0
696983.3138781027,5285885.9353409475,0.0,-1.513365390787592,3.0,0
696983.4733058871,5285883.942784527,0.0,-1.503302376124764,3.0,0
696983.6440074261,5285881.951048812,0.0,-1.4950275498234733,3.0,0
696983.8263079348,5285879.960305155,0.0,-1.4892996328681551,3.0,0
696984.0033551219,5285877.96923505,0.0,-1.486560596226382,3.0,0
696984.1991919697,5285875.9795721555,0.0,-1.4830571257959377,3.0,0
696984.394028748,5285873.989707721,0.0,-1.4808253987341367,3.0,0
696984.5964937164,5285872.000454593,0.0,-1.4781414753374449,3.0,0
696984.7880671652,5285870.010164641,0.0,-1.4826155902406892,3.0,0
696984.9400642405,5285868.016328254,0.0,-1.4995715130718015,3.0,0
696985.046393315,5285866.019482468,0.0,-1.5193301381597868,3.0,0
696985.1179176748,5285864.020996955,0.0,-1.5360739779895844,3.0,0
696985.1881691602,5285862.022476916,0.0,-1.540766872827768,3.0,0
696985.2439561408,5285860.023453735,0.0,-1.5506288526416663,3.0,0
696985.2627346609,5285858.023751814,0.0,-1.5656733007593484,3.0,0
696985.2155165784,5285856.024525243,0.0,-1.5939027013030547,3.0,0
696985.113065538,5285854.027324747,0.0,-1.620186730392767,3.0,0
696984.9565851485,5285852.033575733,0.0,-1.647843059403316,3.0,0
696984.7522260783,5285850.044112546,0.0,-1.6713611766637166,3.0,0
696984.5132631197,5285848.058486078,0.0,-1.692449438640562,3.0,0
696984.2348982462,5285846.07800029,0.0,-1.7135402326749025,3.0,0
696983.9148464819,5285844.103832233,0.0,-1.7355253903168668,3.0,0
696983.5332594016,5285842.140647185,0.0,-1.763445711853353,3.0,0
696983.0814195648,5285840.192489226,0.0,-1.7988084937311175,3.0,0
696982.5739506423,5285838.2579988,0.0,-1.8265543627285652,3.0,0
696982.0418612347,5285836.3301487,0.0,-1.845412702689087,3.0,0
696981.4782407092,5285834.411256462,0.0,-1.862630101031158,3.0,0
696980.9146417776,5285832.492382098,0.0,-1.8660726840591817,3.0,0
696980.3420331533,5285830.576203236,0.0,-1.8729468241061866,3.0,0
696979.7229467146,5285828.674546913,0.0,-1.8910684609825248,3.0,0
696979.0960088583,5285826.775437043,0.0,-1.8980790250339323,3.0,0
696978.4722449988,5285824.875278595,0.0,-1.8997510805240259,3.0,0
696977.8161946031,5285822.986163895,0.0,-1.9148184567223296,3.0,0
