x,y,z,yaw,mps,change_flag
21.7471,34.5320,1.1004,1.7346,0.1352,0
21.5187,35.6487,1.1004,1.7264,1.3019,0
21.3085,36.7589,1.1003,1.7129,2.0685,0
21.1185,37.8572,1.1003,1.6984,3.9518,0
20.9448,38.9449,1.1004,1.6838,4.6018,0
20.7867,40.0280,1.1005,1.6690,4.4851,0
20.6462,41.0974,1.1004,1.6553,4.8685,0
20.5225,42.1594,1.1003,1.6422,5.1351,0
20.4103,43.2094,1.1004,1.6300,5.9017,0
20.3123,44.2532,1.1002,1.6191,6.5517,0
20.2254,45.2874,1.1001,1.6095,7.5517,0
20.1452,46.3150,1.1001,1.6015,8.3184,0
20.0773,47.3278,1.1001,1.5940,8.9017,0
20.0133,48.3288,1.1003,1.5888,9.9683,0
19.9241,49.8117,1.1007,1.5826,8.7350,0
19.8477,51.2773,1.1007,1.5766,6.5016,0
19.7811,52.7178,1.1007,1.5707,6.1516,0
19.7255,54.1349,1.1008,1.5650,6.1016,0
19.6742,55.5296,1.1008,1.5596,6.1682,0
19.6325,56.9056,1.1008,1.5542,6.3348,0
19.5964,58.2487,1.1011,1.5487,5.3848,0
19.5722,59.5711,1.1013,1.5353,5.7515,0
19.5858,60.8689,1.1016,1.4988,5.5181,0
19.6725,62.1333,1.1020,1.4348,5.2847,0
19.8517,63.3641,1.1019,1.3472,5.0514,0
20.1567,64.5386,1.1015,1.2369,4.8180,0
20.5939,65.6381,1.1011,1.1099,5.0514,0
21.1619,66.6472,1.1016,0.9787,4.8180,0
21.8603,67.5652,1.1020,0.8421,4.7014,0
22.6821,68.3827,1.1023,0.7067,4.7014,0
23.6121,69.0947,1.1025,0.5749,4.7014,0
24.6340,69.6824,1.1024,0.4506,4.8180,0
25.7257,70.1496,1.1032,0.3354,4.8180,0
26.8730,70.5020,1.1039,0.2376,4.9347,0
28.0586,70.7621,1.1049,0.1604,4.9347,0
29.2796,70.9548,1.1051,0.1021,5.0514,0
30.5217,71.0967,1.1055,0.0636,5.0514,0
31.7666,71.2019,1.1053,0.0376,4.8180,0
32.9955,71.2870,1.1051,0.0217,4.4680,0
34.2008,71.3523,1.1051,0.0131,4.2346,0
35.3788,71.4187,1.1049,0.0080,3.7679,0
36.5155,71.4733,1.1049,0.0032,3.3012,0
37.6006,71.5238,1.1051,0.0021,2.5178,0
38.6022,71.5736,1.1049,0.0030,2.0677,0
39.7625,71.6307,1.1050,0.0031,1.9008,0
40.8983,71.6816,1.1047,0.0009,1.1506,0
41.8998,71.7265,1.1048,-0.0018,0.5836,0
